Date,Open,High,Low,Close,Volume,Adj Close
2/26/2009,1600,1650,1600,1646.05,200,1604.2
2/25/2009,1612.2,1650,1612.2,1630,300,1588.56
2/24/2009,1601.3,1630,1601.3,1619.7,400,1578.52
2/23/2009,1632.5,1632.5,1632.5,1632.5,0,1590.99
2/20/2009,1621.3,1657.9,1621.3,1632.5,300,1590.99
2/19/2009,1650,1689.9,1645,1653.4,200,1611.36
2/18/2009,1620,1682.8,1620,1664,600,1621.69
2/17/2009,1682.5,1682.9,1630.05,1659.6,300,1617.4
2/16/2009,1730,1730,1662,1666.95,600,1624.57
2/13/2009,1690,1743.8,1680.85,1730,600,1686.01
2/12/2009,1648.25,1730,1648.25,1685,400,1642.16
2/11/2009,1618.5,1669,1618.5,1664.9,300,1622.57
2/10/2009,1692,1692,1641.55,1668.6,400,1626.18
2/9/2009,1550,1700,1550,1665.8,500,1623.45
2/6/2009,1614.9,1690,1614.9,1648.8,500,1606.88
2/5/2009,1625,1640,1610,1631.25,700,1589.78
2/4/2009,1679,1679,1622,1631.1,400,1589.63
2/3/2009,1641.95,1669.75,1641.95,1649.7,700,1607.76
2/2/2009,1649.9,1672.7,1611,1650,500,1608.05
1/30/2009,1620.65,1697.9,1620.65,1695,500,1651.9
1/29/2009,1656,1685,1656,1682.95,500,1640.16
1/28/2009,1647.8,1665,1632.15,1650.1,600,1608.15
1/27/2009,1619.9,1639.5,1610.6,1625.75,1300,1584.42
1/26/2009,1647.8,1647.8,1647.8,1647.8,0,1605.9
1/23/2009,1753,1793,1552,1647.8,7800,1605.9
1/22/2009,1783,1808.8,1740,1748.4,500,1703.95
1/21/2009,1809,1809,1785,1800,300,1754.23
1/20/2009,1793,1809.7,1792,1793.05,200,1747.46
1/19/2009,1777.9,1825,1777.9,1815,300,1768.85
1/16/2009,1825,1836.5,1785,1795.9,600,1750.24
1/15/2009,1800,1860,1771.15,1801,600,1755.21
1/14/2009,1864,1865,1811,1833,800,1786.4
1/13/2009,1811.15,1856.9,1811.15,1821,800,1774.7
1/12/2009,1876.5,1876.5,1801.6,1827.15,600,1780.69
